fill	x	y	group
#FCF8F8	48111	16.5	133
#FEFDFD	48111	17.5	134
#FEFDFD	48111.5	18	134
#FEFDFD	48112	17.5	134
#FEFDFD	48111.5	17	134
#FCF9F9	48111.5	18	135
#FCF9F9	48112	18.5	135
#FCF9F9	48112.5	18	135
#FCF9F9	48112	17.5	135
#FEFDFC	48112	18.5	136
#FEFDFC	48112.5	19	136
#FEFDFC	48113	18.5	136
#FEFDFC	48112.5	18	136
#FEFDFD	48112.5	19	137
#FEFDFD	48113	19.5	137
#FEFDFD	48113.5	19	137
#FEFDFD	48113	18.5	137
#FCF7F6	48113	19.5	138
#FCF7F6	48113.5	20	138
#FCF7F6	48114	19.5	138
#FCF7F6	48113.5	19	138
#FEFDFD	48113.5	20	139
#FEFDFD	48114	20.5	139
#FEFDFD	48114.5	20	139
#FEFDFD	48114	19.5	139
#FFFFFF	48114	20.5	140
#FFFFFF	48114.5	21	140
#FFFFFF	48115	20.5	140
#FFFFFF	48114.5	20	140
#FCF8F8	48114.5	21	141
#FCF8F8	48115	21.5	141
#FCF8F8	48115.5	21	141
#FCF8F8	48115	20.5	141
#FDFAFA	48115	21.5	142
#FDFAFA	48115.5	22	142
#FDFAFA	48116	21.5	142
#FDFAFA	48115.5	21	142
#FFFFFF	48115.5	22	143
#FFFFFF	48116	22.5	143
#FFFFFF	48116.5	22	143
#FFFFFF	48116	21.5	143
#FCF7F7	48116	22.5	144
#FCF7F7	48116.5	23	144
#FCF7F7	48117	22.5	144
#FCF7F7	48116.5	22	144
#FBF7F6	48116.5	23	145
#FBF7F6	48117	23.5	145
#FBF7F6	48117.5	23	145
#FBF7F6	48117	22.5	145
#FBF5F5	48117	23.5	146
#FBF5F5	48117.5	24	146
#FBF5F5	48118	23.5	146
#FBF5F5	48117.5	23	146
#FEFCFC	48117.5	24	147
#FEFCFC	48118	24.5	147
#FEFCFC	48118.5	24	147
#FEFCFC	48118	23.5	147
#FFFEFE	48118	24.5	148
#FFFEFE	48118.5	25	148
#FFFEFE	48119	24.5	148
#FFFEFE	48118.5	24	148
#A3544D	48094.5	0	149
#A3544D	48095	0.5	149
#A3544D	48095.5	0	149
#A3544D	48095	-0.5	149
#B6726B	48095	0.5	150
#B6726B	48095.5	1	150
#B6726B	48096	0.5	150
#B6726B	48095.5	0	150
#AB615A	48095.5	1	151
#AB615A	48096	1.5	151
#AB615A	48096.5	1	151
#AB615A	48096	0.5	151
#CA938D	48096	1.5	152
#CA938D	48096.5	2	152
#CA938D	48097	1.5	152
#CA938D	48096.5	1	152
#E6C9C5	48096.5	2	153
#E6C9C5	48097	2.5	153
#E6C9C5	48097.5	2	153
#E6C9C5	48097	1.5	153
#F5E7E6	48097	2.5	154
#F5E7E6	48097.5	3	154
#F5E7E6	48098	2.5	154
#F5E7E6	48097.5	2	154
#F8EFEE	48097.5	3	155
#F8EFEE	48098	3.5	155
