fill	y	x	group	xmin	xmax	ymin	ymax
#B4B4B4	20	-1	-1	-1.125	-0.875	19.5	20.5
#FFFFFF	1	1.5	-1	1.375	1.625	0.5	1.5
#FFFFFF	24	-1	-1	-1.125	-0.875	23.5	24.5
#DEDEDE	4	-2.75	-1	-2.875	-2.625	3.5	4.5
#FFFFFF	17	1	-1	0.875	1.125	16.5	17.5
#FFFFFF	3	-3	-1	-3.125	-2.875	2.5	3.5
#DEDEDE	4	-5.25	-1	-5.375	-5.125	3.5	4.5
#B4B4B4	15	-1.25	-1	-1.375	-1.125	14.5	15.5
#FFFFFF	27	-1.75	-1	-1.875	-1.625	26.5	27.5
#FFFFFF	13	-1.75	-1	-1.875	-1.625	12.5	13.5
#DEDEDE	12	-1.75	-1	-1.875	-1.625	11.5	12.5
#FFFFFF	18	-1.25	-1	-1.375	-1.125	17.5	18.5
#ACACAC	13	-1	-1	-1.125	-0.875	12.5	13.5
#CCCCCC	14	-1.25	-1	-1.375	-1.125	13.5	14.5
#DEDEDE	11	-1.5	-1	-1.625	-1.375	10.5	11.5
#ACACAC	16	-1	-1	-1.125	-0.875	15.5	16.5
#FFFFFF	4	-3.75	-1	-3.875	-3.625	3.5	4.5
#BEBEBE	22	-1	-1	-1.125	-0.875	21.5	22.5
#FFFFFF	6	-2.5	-1	-2.625	-2.375	5.5	6.5
#DEDEDE	3	-2.5	-1	-2.625	-2.375	2.5	3.5
#FFFFFF	11	-2.25	-1	-2.375	-2.125	10.5	11.5
#FFFFFF	8	-2.5	-1	-2.625	-2.375	7.5	8.5
#FFFFFF	5	-2.75	-1	-2.875	-2.625	4.5	5.5
#DEDEDE	10	-2	-1	-2.125	-1.875	9.5	10.5
#FFFFFF	9	-2.5	-1	-2.625	-2.375	8.5	9.5
#DEDEDE	7	-2.5	-1	-2.625	-2.375	6.5	7.5
#FFFFFF	14	-2.25	-1	-2.375	-2.125	13.5	14.5
#FFFFFF	14	-2.75	-1	-2.875	-2.625	13.5	14.5
#FFFFFF	8	-2.25	-1	-2.375	-2.125	7.5	8.5
#FFFFFF	18	-2	-1	-2.125	-1.875	17.5	18.5
#FFFFFF	18	-2.25	-1	-2.375	-2.125	17.5	18.5
#FFFFFF	14	-2.5	-1	-2.625	-2.375	13.5	14.5
